Modality_Combination,Model_Type,MAE,Binary_Accuracy,Binary_F1,Binary_Precision,Binary_Recall,Class7_Accuracy,Training_Time
audio_video,nn,0.838416337966919,0.6285085305448541,0.7718823927002366,0.6285085305448541,1.0,0.4136080704013737,125.33494138717651
audio_video,cnn,0.803452730178833,0.6274078150798019,0.7125265392781316,0.6916735366859027,0.7346760070052539,0.42326679544966733,189.2354919910431
audio_video,svm,0.840634615716967,0.6290588882773803,0.7718348002708192,0.6291390728476821,0.9982486865148862,0.4138227087357802,8.627164602279663
audio_video,xgboost,0.8419822454452515,0.6298844248761695,0.7713751487336393,0.6304529035843289,0.9934325744308231,0.4125348787293411,3.543161392211914
audio_text,nn,0.6554855704307556,0.8046230049532196,0.8496399830580262,0.822805578342904,0.8782837127845884,0.4713457823567289,201.0411639213562
audio_text,cnn,0.6166931390762329,0.8087506879471656,0.8510820655667453,0.8334032731850608,0.8695271453590193,0.49452672247263363,264.58339834213257
audio_text,svm,0.8266261702858345,0.6235553109521189,0.7600841809891267,0.6339964891749561,0.9487740805604203,0.4163983687486585,8.416002988815308
audio_text,xgboost,0.8457819223403931,0.5982388552559164,0.7340619307832422,0.6285090455396132,0.8822241681260946,0.41167632539171495,3.458001136779785
video_text,nn,0.6585525274276733,0.7991194276279582,0.8464450988641145,0.8145748987854251,0.8809106830122592,0.46984331401588325,167.63352251052856
video_text,cnn,0.6069707274436951,0.8164556962025317,0.8559084035428818,0.844776119402985,0.867338003502627,0.4996780424983902,209.20994186401367
video_text,svm,0.8312521848414605,0.6285085305448541,0.7718823927002366,0.6285085305448541,1.0,0.41081777205408887,8.700050830841064
video_text,xgboost,0.845330536365509,0.5910842047330765,0.7294246176256373,0.6243765586034913,0.876970227670753,0.4136080704013737,3.4389827251434326
